"variable_name","exposure_number","category","exposure","is_foodbook1_only"
"redonion",40,"LÉGUMES","Oignons rouges",FALSE
"oonion",41,"LÉGUMES","Autres oignons",FALSE
"yelonion",42,"LÉGUMES","Oignons blancs ou jaunes*",TRUE
"celery",43,"LÉGUMES","Céleri*",TRUE
"broccoli",44,"LÉGUMES","Brocoli*",TRUE
"cauliflo",45,"LÉGUMES","Chou-fleur*",TRUE
"leek",46,"LÉGUMES","Poireaux*",TRUE
"garlic",47,"LÉGUMES","Ail frais (pas en poudre)*",TRUE
"zucchini",48,"LÉGUMES","Courgettes*",TRUE
"vegjuice",49,"LÉGUMES","Jus de légumes*",TRUE
"vegez",50,"LÉGUMES","Légumes congelés*",TRUE
"anyfreshherbs",52,"LÉGUMES","",FALSE
"basil",53,"LÉGUMES","Basilic frais",FALSE
"tbasil",54,"LÉGUMES","Basilic thaï frais*",TRUE
"cilantro",55,"LÉGUMES","Coriandre fraîche",FALSE
"parsley",56,"LÉGUMES","Persil frais",FALSE
"ofherb",57,"LÉGUMES","Autres herbes fraîches",FALSE
"tarragon",58,"LÉGUMES","Estragon frais*",TRUE
"fb1_anyspices",59,"LÉGUMES","Tout type d'épices*",TRUE
"Q34_A",60,"LÉGUMES","Poivre (entier, du moulin, blanc, noir ou mélangé)*",TRUE
"Q34_B",61,"LÉGUMES","Poudre de cari*",TRUE
"Q34_C",62,"LÉGUMES","Paprika*",TRUE
"Q34_D",63,"LÉGUMES","Curcuma*",TRUE
"Q34_E",64,"LÉGUMES","Autres épices*",TRUE
"csalad",66,"LÉGUMES","Tout type de salades préparées du commerce*",TRUE
"psaladstor",67,"LÉGUMES","Salade de pommes de terre*",TRUE
"pastasal",68,"LÉGUMES","Salade de pâtes*",TRUE
"fruitsal",69,"LÉGUMES","Salades de fruits, fruits coupés ou assiette de fruits*",TRUE
"salsa",70,"LÉGUMES","Sauce salsa*",TRUE
"mango",72,"FRUITS","Mangues",FALSE
"mangof",73,"FRUITS","Mangues fraîches",FALSE
"mangoz",74,"FRUITS","Mangues surgelées",FALSE
"mangod",75,"FRUITS","Mangues séchées",FALSE
"papaya",76,"FRUITS","Papayes",FALSE
"papayaf",77,"FRUITS","Papayes fraîches",FALSE
"papayaz",78,"FRUITS","Papayes surgelées",FALSE
"papayad",79,"FRUITS","Papayes séchées",FALSE
"pomegra",80,"FRUITS","Grenades",FALSE
"pomegraf",81,"FRUITS","Grenades fraîches (y compris les graines prêtes à manger)",FALSE
"pomegraz",82,"FRUITS","Grenades surgelées",FALSE
"avocado",83,"FRUITS","Avocats (y compris le guacamole)",FALSE
"avocadof",84,"FRUITS","Avocats frais",FALSE
"avocadoz",85,"FRUITS","Avocats surgelés",FALSE
"melon",86,"FRUITS","Tout type de melons",FALSE
"cantaloup",87,"FRUITS","Cantaloups",FALSE
"cantaloupf",88,"FRUITS","Cantaloups frais",FALSE
"cantaloupz",89,"FRUITS","Cantaloups surgelés",FALSE
"honeydew",90,"FRUITS","Melons miel",FALSE
"honeydewf",91,"FRUITS","Melons miel frais",FALSE
"honeydewz",92,"FRUITS","Melons miel surgelés",FALSE
"watermel",93,"FRUITS","Melons d’eau",FALSE
"watermelf",94,"FRUITS","Melons d’eau frais",FALSE
"watermelz",95,"FRUITS","Melons d’eau surgelés",FALSE
"peach",96,"FRUITS","Pêches",FALSE
"peachf",97,"FRUITS","Pêches fraîches",FALSE
"peachz",98,"FRUITS","Pêches surgelées",FALSE
"nectarine",99,"FRUITS","Nectarines",FALSE
"nectarinef",100,"FRUITS","Nectarines fraîches",FALSE
"nectarinez",101,"FRUITS","Nectarines surgelées",FALSE
"anyberry",102,"FRUITS","Petits fruits",FALSE
"strawb",103,"FRUITS","Fraises",FALSE
"strawbf",104,"FRUITS","Fraises fraîches",FALSE
"strawbz",105,"FRUITS","Fraises surgelées",FALSE
"strawbd",106,"FRUITS","Fraises séchées",FALSE
"raspb",107,"FRUITS","Framboises",FALSE
"raspbf",108,"FRUITS","Framboises fraîches",FALSE
"raspbz",109,"FRUITS","Framboises surgelées",FALSE
"raspbd",110,"FRUITS","Framboises séchées",FALSE
"blueb",111,"FRUITS","Bleuets",FALSE
"bluebf",112,"FRUITS","Bleuets frais",FALSE
"bluebz",113,"FRUITS","Bleuets surgelés",FALSE
"bluebd",114,"FRUITS","Bleuets séchés",FALSE
"blackb",115,"FRUITS","Mûres",FALSE
"blackbf",116,"FRUITS","Mûres fraîches",FALSE
"blackbz",117,"FRUITS","Mûres surgelées",FALSE
"blackbd",118,"FRUITS","Mûres séchées",FALSE
"coconut",119,"FRUITS","Noix de coco",FALSE
"coconutf",120,"FRUITS","Noix de coco fraîches",FALSE
"coconutz",121,"FRUITS","Noix de coco surgelées",FALSE
"coconutd",122,"FRUITS","Noix de coco séchées",FALSE
"apple",123,"FRUITS","Pommes*",TRUE
"pear",124,"FRUITS","Poires*",TRUE
"apricot",125,"FRUITS","Abricots*",TRUE
"plum",126,"FRUITS","Prunes*",TRUE
"citrus",127,"FRUITS","Agrumes*",TRUE
"cherry",128,"FRUITS","Cerises*",TRUE
"grape",129,"FRUITS","Raisins*",TRUE
"banana",130,"FRUITS","Bananes*",TRUE
"pineapple",131,"FRUITS","Ananas*",TRUE
"olive",132,"FRUITS","Olives*",TRUE
"kiwi",133,"FRUITS","Kiwis*",TRUE
"fruitbz",134,"FRUITS","Sacs de fruits ou de petits fruits mélangés congelés",FALSE
